Author,Birth Year,Death Year
"Disraeli, Benjamin, Earl of Beaconsfield",1804.0,1881.0
"Ditchfield, P. H. (Peter Hampson)",1854.0,1930.0
"Dobschütz, Ernst von",1870.0,1934.0
"Doctorow, Cory",1971.0,
"Doddridge, Philip",1702.0,1751.0
"Dodds, James",1831.0,1907.0
"Dolbear, A. E. (Amos Emerson)",1837.0,1910.0
"Donat, Josef",1868.0,1946.0
"Donne, John",1572.0,1631.0
"Dostoyevsky, Fyodor",1821.0,1881.0
"Doughty, William E. (William Ellison)",1873.0,
Douglass,1818.0,1895.0
"Downing, Dennis J.",,
"Drachmann, A. B. (Anders Björn)",1860.0,1935.0
"Draycott, Gladys M.",,
"Drews, Arthur",1865.0,1935.0
"Driesch, Hans",1867.0,1941.0
"Droz, Joseph",1773.0,1850.0
"Drummond, Henry",1851.0,1897.0
"Duane, William",1760.0,1835.0
"Dubnow, Simon",1860.0,1941.0
"Dudeney, Henry Ernest",1857.0,1930.0
"Dunigan, Rosetta",,
"Dunsany, Lord",1878.0,1957.0
"Durand, Guillaume",,1296.0
"Durant, Will",1885.0,1981.0
"Durkheim, Émile",1858.0,1917.0
"Durning-Lawrence, Edwin, Sir",1837.0,1914.0
"Döllinger, Johann Joseph Ignaz von",1799.0,1890.0
"Ealand, C. A. (Charles Aubrey)",1877.0,
"Ebbinghaus, Hermann",1850.0,1909.0
"Eddington, Arthur Stanley, Sir",1882.0,1944.0
"Egan, Maurice Francis",1852.0,1924.0
"Einstein, Albert",1879.0,1955.0
"Eiselen, Frederick Carl",1872.0,1937.0
"Ellicott, C. J. (Charles John)",1819.0,1905.0
"Ellinwood, Frank F. (Frank Field)",1826.0,1908.0
"Elliott, Calvin",,
"Elmslie, W. A. L. (William Alexander Leslie)",,
"Emerson, Ralph Waldo",1803.0,1882.0
"Emmerich, Anna Katharina",1774.0,1824.0
"Engels, Friedrich",1820.0,1895.0
Epictetus,55.0,135.0
"Erasmus, Desiderius",1469.0,1536.0
"Erdman, Charles Rosenbury",1866.0,1960.0
"Eucken, Rudolf",1846.0,1926.0
Euclid,-325.0,-265.0
Euripides,,-406.0
"Evans-Wentz, W. Y. (Walter Yeeling)",1878.0,1965.0
"Faguet, Émile",1847.0,1916.0
"Falckenberg, Richard",1851.0,1920.0
"Faraday, Michael",1791.0,1867.0
"Farber, Eduard",1892.0,1969.0
"Faris, John T. (John Thomson)",1871.0,1949.0
"Farnell, Lewis Richard",1856.0,1934.0
"Farquhar, J. N. (John Nicol)",1861.0,1929.0
"Feis, Jacob",1842.0,1900.0
"Fellowes, W. D. (William Dorset)",,
"Ferguson, Smith C.",,
"Fernández Bolívar, Víctor José",1923.0,
"Ferri, Enrico",1856.0,1929.0
"Ferriar, John",1761.0,1815.0
"Feuerbach, Ludwig",1804.0,1872.0
